Index,Company,Symbol,Weight,Price,Change,Percent Change
347,Texas Pacific Land Corporation,TPL,0.04%,357.88,3.11,(0.88%)
348,Williams-Sonoma,WSM,0.04%,206.22,0.50,(0.24%)
349,Regions Financial Corporation,RF,0.04%,28.36,0.50,(1.78%)
350,Charter Communications,CHTR,0.04%,188.66,5.85,(3.20%)
351,Veralto,VLTO,0.04%,98.24,-0.48,(-0.49%)
352,Brown & Brown,BRO,0.04%,71.84,-0.26,(-0.36%)
353,Edison International,EIX,0.04%,62.40,0.15,(0.23%)
354,Leidos,LDOS,0.04%,187.65,-0.12,(-0.06%)
355,Omnicom Group,OMC,0.04%,75.87,-0.67,(-0.88%)
356,General Mills,GIS,0.04%,44.73,0.38,(0.85%)
357,First Solar,FSLR,0.04%,222.37,-27.04,(-10.84%)
358,Humana,HUM,0.04%,197.69,3.68,(1.90%)
359,KeyCorp,KEY,0.04%,21.54,0.23,(1.06%)
360,Equity Residential,EQR,0.04%,61.73,0.97,(1.59%)
361,Dollar Tree,DLTR,0.04%,117.25,-1.85,(-1.56%)
362,Tyson Foods,TSN,0.04%,65.36,0.76,(1.18%)
363,Darden Restaurants,DRI,0.04%,200.15,3.65,(1.86%)
364,C.H. Robinson,CHRW,0.04%,194.94,10.66,(5.78%)
365,T. Rowe Price,TROW,0.04%,105.19,-0.06,(-0.06%)
366,Broadridge Financial Solutions,BR,0.04%,195.11,-9.78,(-4.77%)
367,Verisign,VRSN,0.04%,243.91,-9.59,(-3.79%)
368,Corpay,CPAY,0.04%,319.75,2.12,(0.67%)
369,Bunge Global,BG,0.04%,115.67,0.37,(0.32%)
370,LabCorp,LH,0.04%,269.04,1.00,(0.37%)
371,Waters Corporation,WAT,0.04%,373.16,-11.87,(-3.08%)
372,Smurfit WestRock,SW,0.04%,42.23,-0.18,(-0.43%)
373,Coterra,CTRA,0.04%,28.90,1.11,(3.99%)
374,Church & Dwight,CHD,0.04%,91.63,0.15,(0.17%)
375,Expeditors International,EXPD,0.03%,162.09,2.02,(1.26%)
376,CMS Energy,CMS,0.03%,70.88,-0.92,(-1.28%)
377,Ralph Lauren Corporation,RL,0.03%,355.01,2.02,(0.57%)
378,Loews Corporation,L,0.03%,103.74,0.93,(0.90%)
379,Centene Corporation,CNC,0.03%,43.38,1.48,(3.53%)
380,Albemarle Corporation,ALB,0.03%,180.51,-3.82,(-2.07%)
381,NiSource,NI,0.03%,44.58,0.25,(0.55%)
382,Principal Financial Group,PFG,0.03%,94.45,0.41,(0.43%)
383,International Paper,IP,0.03%,39.27,-2.23,(-5.36%)
384,"NVR, Inc.",NVR,0.03%,7577.26,-48.82,(-0.64%)
385,Qnity Electronics,Q,0.03%,98.64,-3.79,(-3.70%)
386,Amcor,AMCR,0.03%,44.12,-0.07,(-0.15%)
387,Lululemon Athletica,LULU,0.03%,173.54,-6.81,(-3.78%)
388,Quest Diagnostics,DGX,0.03%,182.66,-0.08,(-0.04%)
389,SBA Communications,SBAC,0.03%,187.72,3.56,(1.93%)
390,Packaging Corporation of America,PKG,0.03%,222.26,4.65,(2.14%)
391,Global Payments,GPN,0.03%,71.10,-0.91,(-1.27%)
392,Incyte,INCY,0.03%,101.36,0.17,(0.17%)
393,NetApp,NTAP,0.03%,98.52,-0.81,(-0.81%)
394,J.B. Hunt,JBHT,0.03%,205.26,0.20,(0.10%)
395,Genuine Parts Company,GPC,0.03%,138.75,-1.27,(-0.90%)
396,Dow Inc.,DOW,0.03%,27.10,-0.68,(-2.46%)
397,Snap-on,SNA,0.03%,366.92,-3.15,(-0.85%)
398,Weyerhaeuser,WY,0.03%,25.96,-0.09,(-0.33%)
399,DuPont,DD,0.03%,44.46,-0.17,(-0.37%)
400,Moderna,MRNA,0.03%,46.76,1.46,(3.22%)
401,PTC Inc.,PTC,0.03%,152.08,-9.83,(-6.07%)
402,Insulet Corporation,PODD,0.03%,254.73,-3.47,(-1.34%)
403,Supermicro,SMCI,0.03%,29.98,-1.23,(-3.96%)
404,HP Inc.,HPQ,0.03%,19.41,0.36,(1.92%)
405,International Flavors & Fragrances,IFF,0.03%,69.28,-2.88,(-3.99%)
406,Evergy,EVRG,0.03%,76.75,0.10,(0.13%)
407,Lennox International,LII,0.03%,494.48,6.99,(1.43%)
408,Pentair,PNR,0.03%,105.25,0.08,(0.08%)
409,Alliant Energy,LNT,0.03%,66.19,-0.07,(-0.11%)
410,Aptiv,APTV,0.03%,78.64,0.83,(1.06%)
411,Zimmer Biomet,ZBH,0.03%,84.86,-0.85,(-1.00%)
412,Huntington Ingalls Industries,HII,0.03%,428.12,2.73,(0.64%)
413,Fortive,FTV,0.03%,52.86,0.06,(0.11%)
414,Hologic,HOLX,0.03%,75.02,-0.08,(-0.11%)
415,McCormick & Company,MKC,0.03%,61.77,-0.09,(-0.14%)
416,Tyler Technologies,TYL,0.03%,382.76,-36.36,(-8.68%)
417,West Pharmaceutical Services,WST,0.03%,228.65,-7.24,(-3.07%)
418,CDW,CDW,0.03%,124.98,0.26,(0.21%)
419,Invitation Homes,INVH,0.03%,26.39,0.18,(0.71%)
420,LyondellBasell,LYB,0.03%,50.14,-0.33,(-0.65%)
421,Trimble Inc.,TRMB,0.03%,67.70,-2.37,(-3.39%)
422,"F5, Inc.",FFIV,0.03%,282.86,-9.44,(-3.23%)
423,Essex Property Trust,ESS,0.03%,249.15,3.67,(1.50%)
424,Jacobs Solutions,J,0.03%,135.64,-1.06,(-0.78%)
425,TKO Group Holdings,TKO,0.03%,200.57,5.69,(2.92%)
426,Cooper Companies (The),COO,0.02%,79.93,-0.55,(-0.69%)
427,Mid-America Apartment Communities,MAA,0.02%,133.73,1.27,(0.96%)
428,Textron,TXT,0.02%,88.44,1.65,(1.90%)
429,Fox Corporation (Class B),FOX,0.02%,64.88,0.59,(0.91%)
430,Gartner,IT,0.02%,211.69,-14.29,(-6.33%)
431,"The Trade Desk, Inc.",TTD,0.02%,31.39,-0.48,(-1.50%)
